"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"	"Value"
"CHEMBL4127542"	""	"None"	"421.34"	"0"	"1.93"	"14g"	"O=C(O)CNC(=O)c1ncc(-c2cn(Cc3ccc(C(F)(F)F)cc3)nn2)cc1O"	"IC50"	"'='"	"759.4"	"nM"	"6.12"	""	""	"UO_0000065"	"14.52"	"0.28"	"4.19"	"4.70"	"0"	"CHEMBL4124444"	"Inhibition of HIF-PHD2 (181 to 426 residues) (unknown origin) using FITC-HIF1-alpha (556 to 574 residues) as substrate after 60 mins by fluorescence polarization assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL5697"	"Egl nine homolog 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4118236"	"1"	"Scientific Literature"	"J Med Chem"	"2018"	"None"	""	""	""	"759.4"
"CHEMBL3649595"	""	"None"	"304.42"	"0"	"2.05"	"BDBM102340"	"CSCCNCc1ccn(Cc2ccccc2)c(=O)c1O"	"IC50"	"'='"	"16000.0"	"nM"	"4.80"	""	"219838"	"UO_0000065"	"15.75"	"0.31"	"2.75"	"8.84"	"0"	"CHEMBL3705347"	"Enzyme Assay: EGLN enzyme activity assay is determined using mass spectrometry (matrix-assisted laser desorption ionization, time-of-flight MS, MALDI-TOF MS."	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL5697"	"Egl nine homolog 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3638958"	"37"	"BindingDB Patent Bioactivity Data"	""	"2013"	"None"	""	""	""	"16000.0"
"CHEMBL3900684"	""	"None"	"431.83"	"0"	"2.27"	"BDBM242558"	"O=C(O)CNC(=O)C1=C(O)CCN(Cc2ccc(Oc3ccc(Cl)cc3)nc2)C1=O"	"IC50"	"'='"	"43.0"	"nM"	"7.37"	""	"422918"	"UO_0000065"	"17.06"	"0.34"	"5.10"	"5.71"	"0"	"CHEMBL3888920"	"Fluorescence Polarization Assay: The enzyme and the substrate were each diluted with a 50 mM tris-hydrochloric acid buffer (pH 7.5) containing 12.5 mM KCl, 3.75 mM MgCl2, 25 μM iron sulfate, 5 mM ascorbic acid, and 2.5 mM DTT, whereas each test compound was diluted with dimethyl sulfoxide (DMSO).A test compound and the substrate solution were preliminarily added onto 384-well plates and reaction was initiated by adding a human PHD2 enzyme solution (40 ng/well). After 20-min incubation at 30° C., an EDTA-containing quench solution was added and the amount of the proline residues hydroxylated via binding to an added HIF-OH antibody solution was quantified by fluorescence polarization."	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL5697"	"Egl nine homolog 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3886887"	"37"	"BindingDB Patent Bioactivity Data"	""	"2016"	"None"	""	""	""	"43.0"
"CHEMBL3979445"	""	"None"	"447.49"	"0"	"4.47"	"BDBM241088"	"CC(C)CC(CNC(=O)c1nc(C#N)c2cc(Oc3ccccc3)ccc2c1O)CC(=O)O"	"IC50"	"'='"	"12570.0"	"nM"	"4.90"	""	"420772"	"UO_0000065"	"10.95"	"0.20"	"0.43"	"3.70"	"0"	"CHEMBL3888868"	"HIF-PH Assay: Ketoglutaric acid α-[1-14C]-sodium salt, alpha-ketoglutaric acid sodium salt, and HPLC purified peptide may be obtained from commercial sources, e.g., Perkin-Elmer (Wellesley Mass.), Sigma-Aldrich, and SynPep Corp. (Dublin Calif.), respectively. Peptides for use in the assay may be fragments of HIFα as described above or as disclosed in International Publication WO 2005/118836, incorporated by reference herein. HIF-pH, e.g., PHD1 (EGLN2) or PHD2 (EGLN1), can be expressed in, e.g., insect Hi5 cells, and partially purified, e.g., through a SP ion exchange chromatography column. Enzyme activity is determined by capturing 14CO2 using an assay described by Kivirikko and Myllyla (1982, Methods Enzymol. 82:245-304). Assay reactions contain 50 mM HEPES (pH 7.4), 100 μM α-ketoglutaric acid sodium salt, 0.30 mCi/mL ketoglutaric acid α-[1-14C]-sodium salt, 40 μM FeSO4, 1 mM ascorbate, 1541.8 units/mL Catalase, with or without 50 μM peptide substrate and various concentrations of compound of the invention. Reactions are initiated by addition of HIF-PH enzyme."	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"BTI-TN-5B1-4"	"None"	""	""	""	"CHEMBL5697"	"Egl nine homolog 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3886870"	"37"	"BindingDB Patent Bioactivity Data"	""	"2016"	"CHEMBL3833782"	""	""	""	"12570.0"
"CHEMBL3649599"	""	"None"	"342.44"	"0"	"2.47"	"BDBM102344"	"O=c1c(O)c(CN2CCCCCC2)ccn1Cc1ccccc1CO"	"IC50"	"'='"	"18000.0"	"nM"	"4.75"	""	"374086"	"UO_0000065"	"13.86"	"0.26"	"2.27"	"7.22"	"1"	"CHEMBL3888117"	"Activity Assay: The EGLN-1 (or EGLN-3) enzyme activity is determined using mass spectrometry (matrix-assisted laser desorption ionization, time-of-flight MS, MALDI-TOF MS. Recombinant human EGLN-1-179/426 is prepared as described above and in the Supplemental Data. Full-length recombinant human EGLN-3 is prepared in a similar way, however it is necessary to use the His-MBP-TVMV-EGLN-3 fusion for the assay due to the instability of the cleaved protein. For both enzymes, the HIF-1α peptide corresponding to residues 556-574 is used as substrate. The reaction is conducted in a total volume of 50 uL containing TrisCl (5 mM, pH 7.5), ascorbate (120 uM), 2-oxoglutarate (3.2 uM), HIF-1α (8.6 uM), and bovine serum albumin (0.01%). The enzyme, quantity predetermined to hydroxylate 20% of substrate in 20 minutes, is added to start the reaction. Where inhibitors are used, compounds are prepared in dimethyl sulfoxide at 10-fold final assay concentration. After 20 minutes at room temperature, the reaction is stopped by transferring 10 uL of reaction mixture to 50 uL of a mass spectrometry matrix solution (α-cyano-4-hydroxycinnamic acid, 5 mg/mL in 50% acetonitrile/0.1% TFA, 5 mM NH4PO4). Two microliters of the mixture is spotted onto a MALDI-TOF MS target plate for analysis with an Applied Biosystems (Foster City, Calif.) 4700 Proteomics Analyzer MALDI-TOF MS equipped with a Nd:YAG laser (355 nm, 3 ns pulse width, 200 Hz repetition rate)."	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL5697"	"Egl nine homolog 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3886585"	"37"	"BindingDB Patent Bioactivity Data"	""	"2016"	"None"	""	""	""	"18000.0"
"CHEMBL6050670"	""	"None"	"403.44"	"0"	"4.52"	"BDBM373656"	"CC(C)(C)Nc1nc(-n2cc(C(=O)O)cn2)nc2cc(Oc3ccccc3)ccc12"	"IC50"	"'='"	"501.0"	"nM"	"6.30"	""	"742434"	"UO_0000065"	"15.62"	"0.29"	"1.78"	"6.17"	"0"	"CHEMBL5733350"	"PHD enzymatic assay: The PHD enzymatic assay was performed in 0.5 ml of reaction mixture containing the following: purified PHD2181-417 polypeptide (3 μg), synthetic HIF-1α peptide comprising residues [KNPFSTGDTDLDLEMLAPYIPMDDDFQLRSFDQLS] (10 μM, California Peptide Research Inc., Napa, Calif.), and [5-14C]-2-oxoglutaric acid (50 mCi/mmol, Moravek Chemicals, Brea, Calif.) in reaction buffer (40 mM Tris-HCl, pH 7.5, 0.4 mg/ml catalase, 0.5 mM DTT, 1 mM ascorbate) for 10 minutes. Compounds were pre-incubated for 30 min before starting the reaction (all test compounds were dissolved at 10 mM in 100% DMSO (w/v) and were tested with final compound concentrations at 100 μM in 1% DMSO (w/v)). The reaction was stopped by addition of 50 μl of 70 mM H3PO4 and 50 μl of 500 mM NaH2PO4, pH 3.2. Detection of [14C]-succinic acid was achieved by separating from [5-14C]-2-oxoglutaric acid by incubating the reaction mixture with 100 μl of 0.16 M DNP prepared in 30% perchloric acid. Next, 50 μl of unlabeled 20 mM 2-oxoglutaric acid/20 mM succinic acid, serving as carrier for the radioactivity, was added to the mixture, and was allowed to proceed for 30 minutes at room temperature. The reaction was then incubated with 50 μl of 1 M 2-oxoglutaric acid for 30 additional minutes at room temperature to precipitate the excess DNP. The reaction was then centrifuged at 2800×g for 10 minutes at room temperature to separate [14C]-succinic acid in the supernatant from the precipitated [14C]-dinitrophenylhydrazone. Fractions of the supernatant (400 μI) were counted using a beta counter (Beckman Coulter, Fullerton, Calif.). Inhibition of PHD2181-417 activity was measured as a decrease in succinic acid production. The IC50 values were estimated by fitting the data to a three-parameter logistic function using GraphPad Prism, version 4.02 (Graph Pad Software, San Diego, Calif.)."	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL5697"	"Egl nine homolog 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL5726796"	"37"	"BindingDB Patent Bioactivity Data"	""	"2019"	"None"	""	""	""	"501.0"
"CHEMBL3649593"	""	"None"	"338.41"	"0"	"1.98"	"BDBM102337"	"O=c1c(O)c(CNCCCn2ccnc2)ccn1Cc1ccccc1"	"IC50"	"'='"	"12000.0"	"nM"	"4.92"	""	"879145"	"UO_0000065"	"14.54"	"0.27"	"2.94"	"6.83"	"1"	"CHEMBL5734914"	"Activity Assay: The EGLN-1 (or EGLN-3) enzyme activity is determined using mass spectrometry (matrix-assisted laser desorption ionization, time-of-flight MS, MALDI-TOF MS. Recombinant human EGLN-1-179/426 is prepared as described above and in the Supplemental Data. Full-length recombinant human EGLN-3 is prepared in a similar way, however it is necessary to use the His-MBP-TVMV-EGLN-3 fusion for the assay due to the instability of the cleaved protein. For both enzymes, the HIF-1α peptide corresponding to residues 556-574 is used as substrate. The reaction is conducted in a total volume of 50 μL containing TrisCl (5 mM, pH 7.5), ascorbate (120 μM), 2-oxoglutarate (3.2 μM), HIF-1α (8.6 μM), and bovine serum albumin (0.01%). The enzyme, quantity predetermined to hydroxylate 20% of substrate in 20 minutes, is added to start the reaction. Where inhibitors are used, compounds are prepared in dimethyl sulfoxide at 10-fold final assay concentration. After 20 minutes at room temperature, the reaction is stopped by transferring 10 μL of reaction mixture to 50 μL of a mass spectrometry matrix solution (α-cyano-4-hydroxycinnamic acid, 5 mg/mL in 50% acetonitrile/0.1% TFA, 5 mM NH4PO4). Two microliters of the mixture is spotted onto a MALDI-TOF MS target plate for analysis with an Applied Biosystems (Foster City, Calif.) 4700 Proteomics Analyzer MALDI-TOF MS equipped with a Nd:YAG laser (355 nm, 3 ns pulse width, 200 Hz repetition rate). Hydroxylated peptide product is identified from substrate by the gain of 16 Da. Data defined as percent conversion of substrate to product is analyzed in GraphPad Prism 4 to calculate IC50 values."	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL5697"	"Egl nine homolog 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL5727564"	"37"	"BindingDB Patent Bioactivity Data"	""	"2020"	"None"	""	""	""	"12000.0"
"CHEMBL2042267"	""	"None"	"420.52"	"0"	"4.84"	"3j"	"O=C1N(c2cnc3ccccc3c2)c2ccccc2C12CCN(Cc1ccccn1)CC2"	"IC50"	"'='"	"790.0"	"nM"	"6.10"	""	""	"UO_0000065"	"14.51"	"0.26"	"1.26"	"12.37"	"0"	"CHEMBL2045986"	"Inhibition of FLAG-tagged PHD2 expressed in baculovirus infected insect sf9 cells using biotinyl-DLDLEMLAPYIPMDDDFQL as substrate preincubated with compound for 30 mins measured after 2 hrs by time resolved fluorescence analysis"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"Sf9"	"None"	""	""	""	"CHEMBL5697"	"Egl nine homolog 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2040836"	"1"	"Scientific Literature"	"J Med Chem"	"2012"	"CHEMBL3308860"	""	""	""	"790.0"
"CHEMBL2042270"	""	"None"	"421.50"	"0"	"4.24"	"3m"	"O=C1N(c2cnc3ccccc3c2)c2ccccc2C12CCN(Cc1ncccn1)CC2"	"IC50"	"'>'"	"50000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL2045986"	"Inhibition of FLAG-tagged PHD2 expressed in baculovirus infected insect sf9 cells using biotinyl-DLDLEMLAPYIPMDDDFQL as substrate preincubated with compound for 30 mins measured after 2 hrs by time resolved fluorescence analysis"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"Sf9"	"None"	""	""	""	"CHEMBL5697"	"Egl nine homolog 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2040836"	"1"	"Scientific Literature"	"J Med Chem"	"2012"	"CHEMBL3308860"	""	""	""	"50000.0"
"CHEMBL2042841"	""	"None"	"434.54"	"1"	"5.40"	"3t"	"CC(c1ccccn1)N1CCC2(CC1)C(=O)N(c1cnc3ccccc3c1)c1ccccc12"	"IC50"	"'>'"	"50000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL2045986"	"Inhibition of FLAG-tagged PHD2 expressed in baculovirus infected insect sf9 cells using biotinyl-DLDLEMLAPYIPMDDDFQL as substrate preincubated with compound for 30 mins measured after 2 hrs by time resolved fluorescence analysis"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"Sf9"	"None"	""	""	""	"CHEMBL5697"	"Egl nine homolog 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2040836"	"1"	"Scientific Literature"	"J Med Chem"	"2012"	"CHEMBL3308860"	""	""	""	"50000.0"
"CHEMBL2042849"	""	"None"	"438.54"	"0"	"3.82"	"3bb"	"Cn1ccnc1CN1CCC2(CC1)C(=O)N(c1ccc(-n3cccc3)nc1)c1ccccc12"	"IC50"	"'='"	"30.0"	"nM"	"7.52"	""	""	"UO_0000065"	"17.15"	"0.31"	"3.70"	"12.71"	"0"	"CHEMBL2045986"	"Inhibition of FLAG-tagged PHD2 expressed in baculovirus infected insect sf9 cells using biotinyl-DLDLEMLAPYIPMDDDFQL as substrate preincubated with compound for 30 mins measured after 2 hrs by time resolved fluorescence analysis"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"Sf9"	"None"	""	""	""	"CHEMBL5697"	"Egl nine homolog 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2040836"	"1"	"Scientific Literature"	"J Med Chem"	"2012"	"CHEMBL3308860"	""	""	""	"30.0"
"CHEMBL2042850"	""	"None"	"400.53"	"0"	"4.25"	"3cc"	"Cc1ccc(N2C(=O)C3(CCN(Cc4nccn4C)CC3)c3ccccc32)cc1C"	"IC50"	"'='"	"140.0"	"nM"	"6.85"	""	""	"UO_0000065"	"17.11"	"0.31"	"2.60"	"16.57"	"0"	"CHEMBL2045986"	"Inhibition of FLAG-tagged PHD2 expressed in baculovirus infected insect sf9 cells using biotinyl-DLDLEMLAPYIPMDDDFQL as substrate preincubated with compound for 30 mins measured after 2 hrs by time resolved fluorescence analysis"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"Sf9"	"None"	""	""	""	"CHEMBL5697"	"Egl nine homolog 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2040836"	"1"	"Scientific Literature"	"J Med Chem"	"2012"	"CHEMBL3308860"	""	""	""	"140.0"
"CHEMBL2042991"	""	"None"	"538.49"	"2"	"7.03"	"3ii"	"Cc1cccnc1CN1CCC2(CC1)C(=O)N(c1ccc(-c3ccccc3)cc1)c1ccc(Br)cc12"	"IC50"	"'='"	"17.0"	"nM"	"7.77"	""	""	"UO_0000065"	"14.43"	"0.29"	"0.74"	"21.32"	"0"	"CHEMBL2045986"	"Inhibition of FLAG-tagged PHD2 expressed in baculovirus infected insect sf9 cells using biotinyl-DLDLEMLAPYIPMDDDFQL as substrate preincubated with compound for 30 mins measured after 2 hrs by time resolved fluorescence analysis"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"Sf9"	"None"	""	""	""	"CHEMBL5697"	"Egl nine homolog 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2040836"	"1"	"Scientific Literature"	"J Med Chem"	"2012"	"CHEMBL3308860"	""	""	""	"17.0"
"CHEMBL2043168"	""	"None"	"578.63"	"1"	"4.56"	"6k"	"COc1cc(N2C(=O)N(c3ccc(-c4ccc(C(=O)O)cc4)cc3)C(=O)C23CCN(Cc2ncccc2C)CC3)ncn1"	"IC50"	"'='"	"0.4"	"nM"	"9.40"	""	""	"UO_0000065"	"16.24"	"0.30"	"4.84"	"7.28"	"0"	"CHEMBL2045986"	"Inhibition of FLAG-tagged PHD2 expressed in baculovirus infected insect sf9 cells using biotinyl-DLDLEMLAPYIPMDDDFQL as substrate preincubated with compound for 30 mins measured after 2 hrs by time resolved fluorescence analysis"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"Sf9"	"None"	""	""	""	"CHEMBL5697"	"Egl nine homolog 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2040836"	"1"	"Scientific Literature"	"J Med Chem"	"2012"	"CHEMBL3308860"	""	""	""	"0.4"
"CHEMBL2040897"	""	"None"	"555.66"	"1"	"4.63"	"6x"	"Cc1nc(C)c(-c2ccc(N3C(=O)N(c4cc(O)ncn4)C4(CCN(Cc5ncccc5C)CC4)C3=O)cc2)s1"	"IC50"	"'='"	"0.9"	"nM"	"9.05"	""	""	"UO_0000065"	"16.28"	"0.31"	"4.42"	"7.82"	"0"	"CHEMBL2045986"	"Inhibition of FLAG-tagged PHD2 expressed in baculovirus infected insect sf9 cells using biotinyl-DLDLEMLAPYIPMDDDFQL as substrate preincubated with compound for 30 mins measured after 2 hrs by time resolved fluorescence analysis"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"Sf9"	"None"	""	""	""	"CHEMBL5697"	"Egl nine homolog 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2040836"	"1"	"Scientific Literature"	"J Med Chem"	"2012"	"CHEMBL3308860"	""	""	""	"0.9"
"CHEMBL2041191"	""	"None"	"563.62"	"1"	"4.26"	"11j"	"Cc1cc(C(=O)O)ccc1-c1ccc(N2C(=O)N(c3cnccn3)C3(CCN(Cc4ncccc4C)CC3)C2=O)cn1"	"IC50"	"'='"	"1.0"	"nM"	"9.00"	""	""	"UO_0000065"	"15.97"	"0.29"	"4.74"	"6.78"	"0"	"CHEMBL2045986"	"Inhibition of FLAG-tagged PHD2 expressed in baculovirus infected insect sf9 cells using biotinyl-DLDLEMLAPYIPMDDDFQL as substrate preincubated with compound for 30 mins measured after 2 hrs by time resolved fluorescence analysis"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"Sf9"	"None"	""	""	""	"CHEMBL5697"	"Egl nine homolog 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2040836"	"1"	"Scientific Literature"	"J Med Chem"	"2012"	"CHEMBL3308860"	""	""	""	"1.0"
"CHEMBL2041193"	""	"None"	"562.63"	"1"	"4.86"	"11l"	"Cc1cc(C(=O)O)ccc1-c1ccc(N2C(=O)N(c3ccncn3)C3(CCN(Cc4ncccc4C)CC3)C2=O)cc1"	"IC50"	"'='"	"0.2"	"nM"	"9.70"	""	""	"UO_0000065"	"17.24"	"0.32"	"4.84"	"8.09"	"0"	"CHEMBL2045986"	"Inhibition of FLAG-tagged PHD2 expressed in baculovirus infected insect sf9 cells using biotinyl-DLDLEMLAPYIPMDDDFQL as substrate preincubated with compound for 30 mins measured after 2 hrs by time resolved fluorescence analysis"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"Sf9"	"None"	""	""	""	"CHEMBL5697"	"Egl nine homolog 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2040836"	"1"	"Scientific Literature"	"J Med Chem"	"2012"	"CHEMBL3308860"	""	""	""	"0.2"
"CHEMBL2041194"	""	"None"	"563.62"	"1"	"4.26"	"11m"	"Cc1cc(C(=O)O)ccc1-c1ccc(N2C(=O)N(c3ccncn3)C3(CCN(Cc4ncccc4C)CC3)C2=O)cn1"	"IC50"	"'='"	"0.8"	"nM"	"9.10"	""	""	"UO_0000065"	"16.14"	"0.30"	"4.84"	"6.85"	"0"	"CHEMBL2045986"	"Inhibition of FLAG-tagged PHD2 expressed in baculovirus infected insect sf9 cells using biotinyl-DLDLEMLAPYIPMDDDFQL as substrate preincubated with compound for 30 mins measured after 2 hrs by time resolved fluorescence analysis"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"Sf9"	"None"	""	""	""	"CHEMBL5697"	"Egl nine homolog 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2040836"	"1"	"Scientific Literature"	"J Med Chem"	"2012"	"CHEMBL3308860"	""	""	""	"0.8"
"CHEMBL5977869"	""	"None"	"395.42"	"0"	"1.95"	"BDBM413297"	"COCC1(NC(=O)c2ccc(-n3ncc(-c4ccnc(OC)c4)c3O)nc2)CC1"	"IC50"	"'='"	"129.0"	"nM"	"6.89"	""	"823853"	"UO_0000065"	"17.42"	"0.32"	"4.94"	"6.18"	"0"	"CHEMBL5734365"	"Inhibition Assay: The IC50 values for the PHD2 enzyme (residues 181-417) were determined by mixing increasing amounts of inhibitor with a fixed amount of enzyme (5 nM, final concentration) and Biotin labeled peptide (Biotin-Asp-Leu-Glu-Met-Leu-Ala-Pro-Tyr-Ile-Pro-Met-Asp-Asp-Asp-Phe-Gln-Leu, 1 uM final concentration) and 2-Oxyglutarate (2 uM final concentration) in 50 mM HEPES, 50 mM KCl, 0.5 mM TCEP, 2 uM FeCl2, 0.1 mg/ml BSA, at pH 7.3. The reaction was conducted by pre-incubating the enzyme in the presence of inhibitor for 60 min at room temperature. The activity of the free enzyme was measured by adding the peptide, the 2-Oxoglutarate (see above for final concentrations), and Ascorbic Acid (1 mM final concentration). The enzymatic activity was quenched after 60 min by adding an excess of a tight binding inhibitor to the assay mixture. The amount of product released was measured by using a LC/MS system (Agilent HPLC with Applied Biosystems API3000 Mass Spectrometer)."	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL5697"	"Egl nine homolog 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL5727290"	"37"	"BindingDB Patent Bioactivity Data"	""	"2019"	"None"	""	""	""	"129.0"
"CHEMBL6005764"	""	"None"	"359.39"	"0"	"2.79"	"BDBM413255"	"CC1(NC(=O)c2ccc(-n3ncc(-c4ccc(C#N)cc4)c3O)nc2)CC1"	"IC50"	"'='"	"44.7"	"nM"	"7.35"	""	"823811"	"UO_0000065"	"20.45"	"0.37"	"4.56"	"7.08"	"0"	"CHEMBL5734365"	"Inhibition Assay: The IC50 values for the PHD2 enzyme (residues 181-417) were determined by mixing increasing amounts of inhibitor with a fixed amount of enzyme (5 nM, final concentration) and Biotin labeled peptide (Biotin-Asp-Leu-Glu-Met-Leu-Ala-Pro-Tyr-Ile-Pro-Met-Asp-Asp-Asp-Phe-Gln-Leu, 1 uM final concentration) and 2-Oxyglutarate (2 uM final concentration) in 50 mM HEPES, 50 mM KCl, 0.5 mM TCEP, 2 uM FeCl2, 0.1 mg/ml BSA, at pH 7.3. The reaction was conducted by pre-incubating the enzyme in the presence of inhibitor for 60 min at room temperature. The activity of the free enzyme was measured by adding the peptide, the 2-Oxoglutarate (see above for final concentrations), and Ascorbic Acid (1 mM final concentration). The enzymatic activity was quenched after 60 min by adding an excess of a tight binding inhibitor to the assay mixture. The amount of product released was measured by using a LC/MS system (Agilent HPLC with Applied Biosystems API3000 Mass Spectrometer)."	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL5697"	"Egl nine homolog 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL5727290"	"37"	"BindingDB Patent Bioactivity Data"	""	"2019"	"None"	""	""	""	"44.7"
"CHEMBL5990126"	""	"None"	"428.50"	"0"	"2.60"	"BDBM412960"	"Cc1cc(C#N)ccc1-c1cnn(-c2ccc(C(=O)N3CCC4(CN(C)C4)C3)cn2)c1O"	"IC50"	"'='"	"8.91"	"nM"	"8.05"	""	"823516"	"UO_0000065"	"18.79"	"0.34"	"5.45"	"8.19"	"0"	"CHEMBL5734365"	"Inhibition Assay: The IC50 values for the PHD2 enzyme (residues 181-417) were determined by mixing increasing amounts of inhibitor with a fixed amount of enzyme (5 nM, final concentration) and Biotin labeled peptide (Biotin-Asp-Leu-Glu-Met-Leu-Ala-Pro-Tyr-Ile-Pro-Met-Asp-Asp-Asp-Phe-Gln-Leu, 1 uM final concentration) and 2-Oxyglutarate (2 uM final concentration) in 50 mM HEPES, 50 mM KCl, 0.5 mM TCEP, 2 uM FeCl2, 0.1 mg/ml BSA, at pH 7.3. The reaction was conducted by pre-incubating the enzyme in the presence of inhibitor for 60 min at room temperature. The activity of the free enzyme was measured by adding the peptide, the 2-Oxoglutarate (see above for final concentrations), and Ascorbic Acid (1 mM final concentration). The enzymatic activity was quenched after 60 min by adding an excess of a tight binding inhibitor to the assay mixture. The amount of product released was measured by using a LC/MS system (Agilent HPLC with Applied Biosystems API3000 Mass Spectrometer)."	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL5697"	"Egl nine homolog 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL5727290"	"37"	"BindingDB Patent Bioactivity Data"	""	"2019"	"None"	""	""	""	"8.91"
